"traffic_level","time","number of cars"
1,0,5
2,0,5
1,0,6
2,0,5
1,1,6
1,1,5
1,1,6
1,1,4
1,2,5
2,2,6
3,2,4
2,2,5
1,3,6
1,3,5
1,3,4
2,3,5
3,4,4
2,4,5
1,4,4
2,4,5
3,5,6
2,5,5
2,5,45
2,5,6
1,6,5
1,6,4
1,6,5
2,6,6
3,7,7
2,7,5
1,7,4
1,7,5
2,8,6
1,8,5
2,8,4
1,8,5
2,9,6
1,9,5
2,9,4
3,9,5
2,10,6
3,10,5
2,10,4
3,10,6
4,11,7
3,11,6
2,11,5
3,11,6
4,12,7
3,12,6
2,12,7
5,12,8
3,13,7
2,13,6
3,13,8
2,13,7
4,14,6
3,14,7
2,14,8
3,14,6
4,15,7
5,15,8
3,15,6
4,15,5
3,16,6
4,16,7
5,16,8
3,16,7
4,17,6
5,17,4
3,17,5
4,17,6
5,18,7
4,18,8
5,18,8
5,18,9
4,19,8
4,19,7
3,19,8
4,19,7
5,20,9
4,20,5
5,20,7
4,20,6
3,21,8
4,21,7
5,21,6
3,21,6
4,22,7
3,22,8
2,22,8
3,22,7
2,23,6
3,23,5
2,23,6
1,23,3
2,24,7
1,24,2
2,24,6
1,24,4
